"","P17410_B_10","P17410_B_25","P17410_B_28","P17410_B_29","P17410_B_8","P17410_B_9"
"Ighv7.1.1",31.4182025043943,31.3479438859114,32.0693282306764,31.9171970741146,32.0604328863314,31.5881721941462
"X.62",26.128942549401,26.608371923198,27.3773283737776,28.0340167472508,27.0706082370072,27.6242886735135
"RGD1564515",34.7651504998659,34.829319506049,34.6466725785603,34.8396796794708,34.4207893528459,34.7567261240253
"X.63",30.4573829771126,30.7825367203066,30.8502827601561,31.0683674800975,30.0261741346364,30.3525814251034
"LOC100912707",29.176503184858,28.8129578855943,29.047236515067,28.647187428399,29.9003793368762,29.0104932334191
"X.64",27.4973941944213,26.6500671970334,NA,NA,27.8815703184077,27.4995246447396
"LOC100361705",NA,NA,25.8549079409563,27.6610533634763,26.7196016834454,NA
"rCG_21092",28.2310055687517,28.5607430194382,27.6846515746409,27.7557636087236,28.8581314305905,27.8953316657669
"X.65",29.3426346047944,28.3040854257204,28.9508534917583,29.0192435560114,28.838699594071,28.9511592976821
"X.66",30.8331897276703,31.38314030984,30.7519868971201,31.0214824393117,31.4520890372087,31.1947790746444
"X.67",31.2211264176777,31.150313417462,30.512392419287,31.7066026445994,31.9693557236814,30.2027981325398
"X.68",27.52738548788,27.6795600985829,27.1367264532443,28.0424433307887,27.4600617505157,25.5686570975983
"LOC100362687",NA,27.745862627607,27.5660166316865,27.6931198017687,26.9130787701755,26.7081989923752
"X.69",30.4631449754581,30.7776857426609,30.4912324494435,30.837632384038,30.6784187524222,29.2434303885219
"Apob",30.5583727142564,29.5404147658051,31.4585078855835,31.3570467569695,31.948481295439,32.5299468025588
"X.70",28.991588923832,28.2668249213515,28.8096194820527,28.8683242745438,31.1933109217071,27.5838399346288
"RGD1565617",26.8667925633842,NA,NA,25.9945537051855,27.5046855352335,27.523352690337
"Vwf",26.7981056905935,27.3122460765471,27.1515114832783,26.6792245022566,27.5179580310808,27.3008605510042
"Cfh",33.6762973115739,33.3832948373987,33.1710030110221,33.6103887488482,33.7415376165003,33.5530481405318
"Kpnb1",NA,24.2440159282765,23.3663969257441,NA,24.2831262317746,NA
"C9",31.999473443528,32.4127120814329,32.7269589004468,31.8900487856953,32.3400310022085,32.0640682989527
"LOC360919",27.530216639974,26.9709263344839,26.9821790960276,26.9594745658941,26.8296559664741,25.9294254779034
"X.71",NA,26.8168988848003,25.475559288989,27.5731145984117,26.4497102495969,29.3346871395586
"Serpinf2",30.2444515246085,30.3574138749636,30.5481174131032,30.4799088570003,30.3812331078004,30.429121060898
"Angptl3",24.9554892179429,NA,NA,NA,NA,27.2823309933305
"Slc4a1",NA,NA,26.5397716344978,26.0458731205632,NA,NA
"Cfb.C2",27.8408016416269,27.9842996273079,28.0586343159019,27.8588131985312,28.0381576808703,27.9863085362945
"Itga6",NA,26.1497297564193,NA,24.8645273651182,25.018479686399,NA
"Tfrc",28.2517373073044,26.9299897580533,29.4653265685692,30.2109470005587,25.6143103959682,27.7495115376493
"Igj",32.7787238148517,32.1491022390834,32.8130458353349,33.1779529028344,33.0004140103198,32.5524527614709
"LOC100911597.Myh9",27.1700688482037,30.4426293541175,28.392270184104,27.2138230213348,28.5630366816773,27.1889564120168
"Tubb4b.Tubb4a",24.6605230383709,26.3390402937074,26.4205012618333,25.880799990878,25.6067634887101,NA
"Cfd",28.1291293054047,26.9496017920887,25.8360044963032,26.4149974267647,26.8696190688582,26.9923725640087
"Lifr",32.501874949426,32.2122233625231,33.0267512819181,32.8781459244401,32.3859706885769,32.5553586308994
"C1s",33.1450373667486,33.0955326607364,32.5898693249971,32.4465537812571,33.2217314481084,32.978999260146
